Features,importance
Patent_#,0.05321110579776488
Country_1,0.047934545412142676
Duration,0.031149352483797976
Age_code_1,0.028891259374878176
Funder_Type_1,0.028590616223422714
Intervention_Model_5,0.027159054608198695
MW,0.02666976115293973
Refractivity,0.026447975960282914
PSA,0.02634117756654126
Polarizability,0.024879165505844188
claims_#,0.02251620936869348
Intervention_Model_3,0.0200377614746198
logP,0.019476694426589232
Country_0,0.016048980123102633
Allocation_Type_1,0.0154952939109399
Bond_#,0.014748803443978319
HBA,0.014469193065493177
Country_2,0.011995578941734654
Funder_Type_4,0.009849193434361404
Rings,0.00947059674384849
HBD,0.009249462124329307
ECFP4.108,0.007831311578669559
ECFP4.1,0.007825156184113266
Gender_code_0,0.007727261335826071
Allocation_Type_3,0.007723449204444813
ECFP4.60,0.007493972415111018
PCT_code_2,0.006876412878430108
Funder_Type_2,0.00612468706371787
PCT_code_1,0.005623914856548379
Allocation_Type_0,0.005593834247655961
ECFP4.45,0.00556643792722307
ECFP4.9,0.005454972273417814
Age_code_4,0.0050941410187718954
ECFP4.2,0.004814378972607558
ECFP4.123,0.004629131083338971
ECFP4.46,0.004620482012080851
ECFP4.103,0.004577299982051774
ECFP4.82,0.004527992833347819
ECFP4.70,0.004504125946707971
Intervention_Model_0,0.004462065078642136
ECFP4.76,0.004381783200738587
ECFP4.73,0.004328356386734752
Funder_Type_5,0.004221796234189116
ECFP4.35,0.00420632334575663
ECFP4.6,0.004182301068454781
ECFP4.65,0.00416426259782497
ECFP4.17,0.004136831541023536
ECFP4.91,0.0041238129613832665
ECFP4.64,0.004121666943895118
ECFP4.49,0.004105004309354288
ECFP4.50,0.004074889917537281
CPC_code_5,0.0039672502890881894
ECFP4.79,0.0038784213092544553
ECFP4.99,0.0038715785883561005
ECFP4.89,0.003856945732708058
ECFP4.4,0.0038420126702665607
ECFP4.128,0.003838546637104855
ECFP4.39,0.0038013835227725416
Age_code_5,0.0037898588590970276
ECFP4.97,0.003785129399649981
ECFP4.28,0.003784171014203379
ECFP4.33,0.003742210503898937
ECFP4.16,0.0037327868785246264
ECFP4.124,0.0037230048442892824
ECFP4.20,0.0037180679890155897
ECFP4.3,0.0036975759897404183
ECFP4.106,0.003684821414601995
ECFP4.126,0.0036474812126687005
ECFP4.80,0.0036461829207498253
ECFP4.109,0.00359558530775397
ECFP4.56,0.0035422662419816215
ECFP4.47,0.0035361906344171822
ECFP4.75,0.00353452003969333
ECFP4.69,0.0035311050167045836
ECFP4.15,0.0035225243759770468
ECFP4.37,0.003522082177236545
ECFP4.61,0.003520373000312694
ECFP4.85,0.0035190621341160996
ECFP4.53,0.0035116850364386182
ECFP4.78,0.0034941158606245416
ECFP4.13,0.003483320358702855
ECFP4.8,0.0034413984199892877
ECFP4.114,0.0034331399836273814
ECFP4.48,0.0034289973870092402
ECFP4.95,0.0034208751953214572
ECFP4.31,0.003388769211754106
ECFP4.83,0.0033605187123937094
Gender_code_3,0.0033553196969039515
ECFP4.36,0.0033444661595884266
ECFP4.12,0.0033319173192503165
ECFP4.30,0.003326724316945503
ECFP4.120,0.003326172929377252
ECFP4.42,0.003323426711084571
ECFP4.74,0.0033191387415312528
ECFP4.19,0.0033112432224287453
ECFP4.62,0.00330101918699023
ECFP4.29,0.0032977877792890807
ECFP4.102,0.0032406904457676516
ECFP4.55,0.0032114966360361533
ECFP4.71,0.003211303818701046
ECFP4.59,0.003191436104395162
ECFP4.14,0.003180067861641951
ECFP4.67,0.003178144397104592
ECFP4.11,0.0031588002722276066
ECFP4.41,0.003150834361433534
ECFP4.122,0.003115010487280069
ECFP4.100,0.0030657389845750254
ECFP4.115,0.003057212815073201
ECFP4.52,0.0030094198942250687
ECFP4.88,0.0029880092470783615
ECFP4.98,0.002972944663112561
ECFP4.18,0.0029627207975217373
ECFP4.105,0.0028975967842485018
ECFP4.27,0.0028932180837672743
ECFP4.121,0.002877852468229414
ECFP4.63,0.0028687364317253597
ECFP4.87,0.0028594941701757057
